cloud_account_id,cloud_device_id,cloud_timestamp,metadata,model,serial,system_status,system_status_int,timestamp,PM 2.5 AQI,PM 1,NC (2.5),NC (10),tpsize,mcpm10_aqi,PM 4,PM 10,NC (1),PM 2.5,NC (0.5),NC (4),fanspd,RH (%),T (C),device_id,Device Name
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T00:17:20.445Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 00:02:19+00:00,8.0,2.0,24.0,24.0,0.51,2.0,2.0,2.0,23.0,2.0,20.0,24.0,6000.0,31.0,16.4,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T01:17:20.875Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 01:02:19+00:00,38.0,8.0,88.0,88.0,0.5,8.0,8.0,9.0,88.0,9.0,75.0,88.0,6001.0,39.0,14.1,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T02:17:20.97Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 02:02:19+00:00,38.0,7.0,82.0,82.0,0.5,8.0,8.0,9.0,82.0,9.0,70.0,82.0,6000.0,40.0,13.9,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T03:17:20.556Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 03:02:19+00:00,25.0,6.0,71.0,71.0,0.51,6.0,6.0,6.0,70.0,6.0,60.0,71.0,5999.0,43.0,12.8,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T04:17:20.517Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 04:02:19+00:00,21.0,5.0,57.0,57.0,0.49,5.0,5.0,5.0,57.0,5.0,48.0,57.0,6001.0,42.0,12.7,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T05:17:20.527Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 05:02:19+00:00,17.0,3.0,38.0,38.0,0.5,4.0,4.0,4.0,38.0,4.0,33.0,38.0,6000.0,40.0,13.3,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T06:17:20.539Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 06:02:19+00:00,29.0,7.0,76.0,76.0,0.5,6.0,7.0,7.0,76.0,7.0,65.0,76.0,6000.0,42.0,12.8,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T07:17:20.569Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 07:02:19+00:00,38.0,8.0,88.0,88.0,0.51,8.0,8.0,9.0,88.0,9.0,75.0,88.0,6000.0,46.0,11.8,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T08:17:20.674Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 08:02:19+00:00,29.0,7.0,82.0,82.0,0.51,6.0,7.0,7.0,82.0,7.0,70.0,82.0,6001.0,49.0,10.9,curp5a72jtt5l9q4rkd0,BS-7
csghurush10fmp9n6tv0,curp5a72jtt5l9q4rkd0,2025-03-01T09:17:19.618Z,"{'friendly_name': 'MS-07', 'is_indoor': False, 'is_public': True, 'location': {'latitude': 35.976734, 'longitude': -78.89659}}",8143,81432415046,[],0,2025-03-01 09:02:19+00:00,29.0,6.0,73.0,73.0,0.49,6.0,7.0,7.0,73.0,7.0,62.0,73.0,6000.0,51.0,10.2,curp5a72jtt5l9q4rkd0,BS-7
