cloud_account_id,cloud_device_id,cloud_timestamp,metadata,model,serial,system_status,system_status_int,timestamp,mcpm10,ncpm4x0,ncpm10,tpsize,mcpm2x5,mcpm4x0,ncpm1x0,mcpm1x0,mcpm2x5_aqi,ncpm2x5,fanspd,mcpm10_aqi,ncpm0x5,rh_percent,temp_c,device_id,device_name
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-12T19:32:57.251Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,['Device rebooted.'],1,2025-05-12 19:31:56+00:00,3.0,27.0,27.0,0.38,3.0,3.0,27.0,3.0,13.0,27.0,6003.0,3.0,23.0,73.0,24.4,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-12T20:01:57.254Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-12 20:00:56+00:00,3.0,33.0,33.0,0.42,3.0,3.0,33.0,3.0,13.0,33.0,6001.0,3.0,28.0,76.0,23.1,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-12T21:01:57.284Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-12 21:00:56+00:00,3.0,26.0,26.0,0.4,3.0,3.0,26.0,3.0,13.0,26.0,6012.0,3.0,23.0,75.0,23.4,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-12T22:01:57.289Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-12 22:00:56+00:00,2.0,23.0,23.0,0.42,2.0,2.0,23.0,2.0,8.0,23.0,6003.0,2.0,20.0,76.0,22.8,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-12T23:01:57.397Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-12 23:00:56+00:00,2.0,23.0,23.0,0.42,2.0,2.0,23.0,2.0,8.0,23.0,6007.0,2.0,20.0,76.0,22.6,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T00:01:57.348Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 00:00:56+00:00,2.0,20.0,20.0,0.42,2.0,2.0,20.0,2.0,8.0,20.0,6001.0,2.0,17.0,76.0,22.6,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T01:01:57.326Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 01:00:56+00:00,2.0,24.0,24.0,0.45,2.0,2.0,24.0,2.0,8.0,24.0,6010.0,2.0,21.0,77.0,22.2,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T02:01:57.367Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 02:00:56+00:00,2.0,23.0,23.0,0.44,2.0,2.0,23.0,2.0,8.0,23.0,6004.0,2.0,20.0,77.0,22.1,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T03:01:57.375Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 03:00:56+00:00,3.0,28.0,28.0,0.44,3.0,3.0,27.0,3.0,13.0,28.0,6012.0,3.0,24.0,77.0,22.4,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T04:01:57.384Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 04:00:56+00:00,3.0,30.0,30.0,0.44,3.0,3.0,29.0,3.0,13.0,29.0,6014.0,3.0,26.0,77.0,22.7,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T05:01:57.401Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 05:00:56+00:00,3.0,28.0,28.0,0.43,3.0,3.0,28.0,3.0,13.0,28.0,5990.0,3.0,25.0,77.0,22.4,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T06:01:57.421Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 06:00:56+00:00,3.0,30.0,30.0,0.47,3.0,3.0,30.0,3.0,13.0,30.0,5996.0,3.0,26.0,79.0,21.9,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T07:01:57.424Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 07:00:56+00:00,2.0,21.0,21.0,0.49,2.0,2.0,20.0,2.0,8.0,21.0,6001.0,2.0,18.0,80.0,21.5,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T08:01:57.45Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 08:00:56+00:00,1.0,14.0,14.0,0.42,1.0,1.0,14.0,1.0,4.0,14.0,6013.0,1.0,12.0,80.0,21.7,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T09:01:57.468Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 09:00:56+00:00,1.0,15.0,15.0,0.44,1.0,1.0,15.0,1.0,4.0,15.0,6001.0,1.0,13.0,82.0,21.3,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T10:01:57.478Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 10:00:56+00:00,1.0,8.0,8.0,0.47,1.0,1.0,7.0,1.0,4.0,8.0,6012.0,1.0,7.0,81.0,21.6,d0930cvoovhpfm35n49g,BS-13
csghurush10fmp9n6tv0,d0930cvoovhpfm35n49g,2025-05-13T11:01:57.51Z,"{'friendly_name': 'BS-13', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99953946, 'longitude': -78.91670978}}",8143,81432433003,[],0,2025-05-13 11:00:56+00:00,1.0,11.0,11.0,0.46,1.0,1.0,11.0,1.0,4.0,11.0,6000.0,1.0,9.0,80.0,21.2,d0930cvoovhpfm35n49g,BS-13
