cloud_account_id,cloud_device_id,cloud_timestamp,metadata,model,serial,system_status,system_status_int,timestamp,ncpm0x5,ncpm1x0,mcpm1x0,ncpm4x0,tpsize,mcpm2x5_aqi,mcpm10_aqi,mcpm10,ncpm10,fanspd,mcpm2x5,mcpm4x0,ncpm2x5,temp_c,rh_percent,device_id,device_name
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T00:01:28.534Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 00:00:27+00:00,51.0,59.0,6.0,59.0,0.44,29.0,6.0,7.0,59.0,6000.0,7.0,7.0,59.0,21.0,81.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T01:01:28.57Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 01:00:27+00:00,56.0,65.0,7.0,66.0,0.45,29.0,6.0,7.0,66.0,6000.0,7.0,7.0,66.0,20.5,82.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T02:01:27.608Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 02:00:27+00:00,58.0,68.0,7.0,68.0,0.45,33.0,7.0,8.0,68.0,5999.0,8.0,8.0,68.0,20.3,82.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T03:01:27.638Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 03:00:27+00:00,58.0,68.0,7.0,68.0,0.45,33.0,7.0,8.0,68.0,6000.0,8.0,8.0,68.0,19.9,83.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T04:01:27.674Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 04:00:27+00:00,51.0,59.0,6.0,59.0,0.45,29.0,6.0,7.0,59.0,5999.0,7.0,7.0,59.0,20.5,83.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T05:01:27.723Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 05:00:27+00:00,52.0,60.0,6.0,61.0,0.43,29.0,6.0,7.0,61.0,5999.0,7.0,7.0,61.0,20.4,83.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T06:01:27.743Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 06:00:27+00:00,49.0,57.0,6.0,57.0,0.45,25.0,6.0,6.0,57.0,5999.0,6.0,6.0,57.0,20.6,83.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T07:01:27.789Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 07:00:27+00:00,53.0,62.0,7.0,62.0,0.51,29.0,6.0,7.0,62.0,6000.0,7.0,7.0,62.0,20.8,83.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T08:01:27.825Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 08:00:27+00:00,59.0,69.0,7.0,69.0,0.49,33.0,7.0,8.0,69.0,5998.0,8.0,8.0,69.0,20.9,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T09:01:27.864Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 09:00:27+00:00,63.0,73.0,8.0,73.0,0.48,33.0,7.0,8.0,73.0,5999.0,8.0,8.0,73.0,20.6,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T10:01:27.896Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 10:00:27+00:00,54.0,63.0,7.0,63.0,0.46,29.0,6.0,7.0,63.0,6000.0,7.0,7.0,63.0,20.5,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T11:01:27.933Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 11:00:27+00:00,46.0,53.0,6.0,54.0,0.45,25.0,6.0,6.0,54.0,6000.0,6.0,6.0,54.0,20.7,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T12:01:27.97Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 12:00:27+00:00,46.0,54.0,6.0,54.0,0.46,25.0,6.0,6.0,54.0,6000.0,6.0,6.0,54.0,21.0,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T13:01:28.009Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 13:00:27+00:00,53.0,62.0,7.0,62.0,0.48,29.0,6.0,7.0,62.0,6000.0,7.0,7.0,62.0,21.5,84.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T14:01:28.067Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 14:00:27+00:00,68.0,79.0,9.0,79.0,0.49,38.0,8.0,9.0,79.0,5999.0,9.0,9.0,79.0,22.1,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T15:01:28.083Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 15:00:27+00:00,62.0,72.0,8.0,72.0,0.46,33.0,7.0,8.0,72.0,6000.0,8.0,8.0,72.0,22.2,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T16:01:28.128Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 16:00:27+00:00,19.0,22.0,2.0,22.0,0.45,13.0,3.0,3.0,22.0,6000.0,3.0,3.0,22.0,22.8,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T17:01:28.173Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 17:00:27+00:00,24.0,28.0,3.0,28.0,0.44,13.0,3.0,3.0,28.0,6000.0,3.0,3.0,28.0,23.2,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T18:01:28.199Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 18:00:27+00:00,26.0,30.0,3.0,30.0,0.42,13.0,3.0,3.0,30.0,5999.0,3.0,3.0,30.0,23.0,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T19:01:28.247Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 19:00:27+00:00,21.0,25.0,3.0,25.0,0.45,13.0,3.0,3.0,25.0,5999.0,3.0,3.0,25.0,22.9,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T20:01:28.283Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 20:00:27+00:00,23.0,27.0,3.0,27.0,0.46,13.0,3.0,3.0,27.0,6000.0,3.0,3.0,27.0,22.8,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T21:01:28.318Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 21:00:27+00:00,23.0,27.0,3.0,27.0,0.46,13.0,3.0,3.0,27.0,6000.0,3.0,3.0,27.0,23.1,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T22:01:28.356Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 22:00:27+00:00,19.0,23.0,2.0,23.0,0.46,13.0,3.0,3.0,23.0,6000.0,3.0,3.0,23.0,22.7,85.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-12T23:01:28.409Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-12 23:00:27+00:00,18.0,21.0,2.0,22.0,0.48,8.0,2.0,2.0,22.0,5999.0,2.0,2.0,22.0,22.5,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T00:01:28.435Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 00:00:27+00:00,18.0,21.0,2.0,21.0,0.47,8.0,2.0,2.0,21.0,5998.0,2.0,2.0,21.0,22.4,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T01:01:28.473Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 01:00:27+00:00,18.0,21.0,2.0,21.0,0.46,8.0,2.0,2.0,21.0,6000.0,2.0,2.0,21.0,22.2,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T02:01:28.508Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 02:00:27+00:00,18.0,21.0,2.0,22.0,0.46,8.0,2.0,2.0,22.0,5999.0,2.0,2.0,22.0,22.1,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T03:01:28.551Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 03:00:27+00:00,23.0,26.0,3.0,27.0,0.49,13.0,3.0,3.0,27.0,6000.0,3.0,3.0,27.0,22.3,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T04:01:27.585Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 04:00:27+00:00,23.0,27.0,3.0,27.0,0.46,13.0,3.0,3.0,27.0,5999.0,3.0,3.0,27.0,22.5,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T05:01:27.625Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 05:00:27+00:00,26.0,30.0,3.0,30.0,0.49,13.0,3.0,3.0,30.0,5999.0,3.0,3.0,30.0,22.2,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T06:01:27.659Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 06:00:27+00:00,22.0,26.0,3.0,26.0,0.46,13.0,3.0,3.0,26.0,6000.0,3.0,3.0,26.0,22.1,87.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T07:01:27.697Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 07:00:27+00:00,17.0,19.0,2.0,20.0,0.52,8.0,2.0,2.0,20.0,6000.0,2.0,2.0,20.0,21.8,86.0,cv884m3ne4ath43m7hu0,BS-11
